steps,price
1000,5.46435
2000,5.66083
3000,5.35649
4000,5.61221
5000,5.61213
6000,5.41461
7000,5.62788
8000,5.52645
9000,5.82871
10000,5.66252
11000,5.67409
12000,5.49207
13000,5.48866
14000,5.5105
15000,5.32899
16000,5.60212
17000,5.51224
18000,5.40564
19000,5.53918
20000,5.58243
21000,5.48895
22000,5.64677
23000,5.58311
24000,5.58318
25000,5.66533
26000,5.51081
27000,5.5116
28000,5.52911
29000,5.53319
30000,5.55256
31000,5.53992
32000,5.50638
33000,5.49991
34000,5.57983
35000,5.60584
36000,5.63973
37000,5.55973
38000,5.55265
39000,5.66526
40000,5.57761
41000,5.58602
42000,5.55113
43000,5.58301
44000,5.51628
45000,5.45416
46000,5.55136
47000,5.5836
48000,5.64733
49000,5.58289
50000,5.57011
51000,5.59647
52000,5.60293
53000,5.58773
54000,5.56143
55000,5.58055
56000,5.60651
57000,5.63016
58000,5.51991
59000,5.52505
60000,5.52446
61000,5.5863
62000,5.56396
63000,5.63209
64000,5.61231
65000,5.51484
66000,5.54982
67000,5.61662
68000,5.53043
69000,5.55236
70000,5.63061
71000,5.55096
72000,5.57435
73000,5.58605
74000,5.58255
75000,5.55728
76000,5.49674
77000,5.56479
78000,5.58895
79000,5.58536
80000,5.57436
81000,5.59915
82000,5.59647
83000,5.60007
84000,5.55084
85000,5.55106
86000,5.62095
87000,5.57908
88000,5.60106
89000,5.51798
90000,5.58792
91000,5.5062
92000,5.53192
93000,5.55432
94000,5.6337
95000,5.56292
96000,5.52219
97000,5.59341
98000,5.46992
99000,5.54326
100000,5.60208
101000,5.55441
102000,5.56359
103000,5.56549
104000,5.574
105000,5.5202
106000,5.48852
107000,5.59521
108000,5.55249
109000,5.53909
110000,5.52461
111000,5.61589
112000,5.60209
113000,5.54729
114000,5.54186
115000,5.58369
116000,5.55627
117000,5.5672
118000,5.60231
119000,5.58815
120000,5.54614
121000,5.58282
122000,5.51213
123000,5.59314
124000,5.62487
125000,5.52692
126000,5.56218
127000,5.56017
128000,5.61909
129000,5.62056
130000,5.55191
131000,5.58698
132000,5.61334
133000,5.55795
134000,5.60619
135000,5.5684
136000,5.52823
137000,5.58187
138000,5.48181
139000,5.55884
140000,5.56914
141000,5.56118
142000,5.58975
143000,5.57672
144000,5.51553
145000,5.60642
146000,5.58325
147000,5.5164
148000,5.63229
149000,5.53768
150000,5.55564
151000,5.55592
152000,5.53372
153000,5.58749
154000,5.56645
155000,5.55608
156000,5.53973
157000,5.61319
158000,5.54909
159000,5.59364
160000,5.55175
161000,5.58031
162000,5.6237
163000,5.57747
164000,5.58783
165000,5.61337
166000,5.62004
167000,5.5536
168000,5.60603
169000,5.57438
170000,5.53914
171000,5.57422
172000,5.57023
173000,5.48347
174000,5.55754
175000,5.58513
176000,5.57894
177000,5.60702
178000,5.55847
179000,5.56969
180000,5.56594
181000,5.57153
182000,5.54602
183000,5.55355
184000,5.61501
185000,5.60254
186000,5.5444
187000,5.59014
188000,5.63366
189000,5.54363
190000,5.58934
191000,5.59251
192000,5.5508
193000,5.58041
194000,5.53551
195000,5.57564
196000,5.52137
197000,5.56957
198000,5.572
199000,5.55753
200000,5.59422
